candidate_offset_m,candidate_east_m,candidate_north_m,sat_id,system,prn,azimuth_deg,elevation_deg,candidate_lat_deg,candidate_lon_deg,candidate_height_m,rho_authorized_m,rho_candidate_m,delta_range_m
10,10,0,C04,BeiDou,4,128.263445539162,26.7167880823043,35.7720419599492,120.024882690387,92.8890078309923,38903009.0511728,38903002.0377144,-7.01345848292112
10,10,0,C05,BeiDou,5,248.678114368494,11.2768571098931,35.7720419599492,120.024882690387,92.8890078309923,40408501.3666503,40408510.5023362,9.13568590581417
10,10,0,C06,BeiDou,6,169.207868805219,84.3979245008998,35.7720419599492,120.024882690387,92.8890078309923,35760369.4962767,35760369.3134902,-0.18278656154871
10,10,0,C07,BeiDou,7,241.159365277131,64.1498550764723,35.7720419599492,120.024882690387,92.8890078309923,36532769.2762782,36532773.0956539,3.81937565654516
10,10,0,C09,BeiDou,9,311.167333846806,76.9754431310096,35.7720419599492,120.024882690387,92.8890078309923,36099520.6658509,36099522.3624065,1.69655556231737
10,10,0,C10,BeiDou,10,240.07132263708,48.7660259028624,35.7720419599492,120.024882690387,92.8890078309923,37577309.6788543,37577315.3912396,5.71238528192043
10,10,0,C11,BeiDou,11,72.5279721218669,63.1342273428575,35.7720419599492,120.024882690387,92.8890078309923,22115817.5950794,22115813.2845577,-4.31052170693874
10,10,0,C12,BeiDou,12,40.0007038488761,15.4910222784539,35.7720419599492,120.024882690387,92.8890078309923,25569870.8658595,25569864.6714203,-6.1944391541183
10,10,0,C16,BeiDou,16,159.417948756431,84.0262942277665,35.7720419599492,120.024882690387,92.8890078309923,35840225.3097738,35840224.9439116,-0.365862198174
10,10,0,C20,BeiDou,20,311.55603579635,0.189664575187336,35.7720419599492,120.024882690387,92.8890078309923,27177356.898596,27177364.3816331,7.48303704708815
10,10,0,C23,BeiDou,23,328.597894235386,64.436339828731,35.7720419599492,120.024882690387,92.8890078309923,22024613.6942614,22024615.9426292,2.24836779013276
10,10,0,C24,BeiDou,24,119.161219825853,2.29065140866484,35.7720419599492,120.024882690387,92.8890078309923,26926730.9847477,26926722.25923,-8.72551769763231
10,10,0,C25,BeiDou,25,104.298508581701,56.7402734467387,35.7720419599492,120.024882690387,92.8890078309923,22359307.6954181,22359302.3809691,-5.31444904208183
10,10,0,C28,BeiDou,28,206.386776375561,18.9633038232933,35.7720419599492,120.024882690387,92.8890078309923,25157226.0020789,25157230.2051709,4.20309197157621
10,10,0,C32,BeiDou,32,261.574224368151,3.39216574510125,35.7720419599492,120.024882690387,92.8890078309923,26803285.6272685,26803295.5020008,9.87473224103451
10,10,0,C34,BeiDou,34,50.0722688709258,39.7023083999749,35.7720419599492,120.024882690387,92.8890078309923,23396552.8867504,23396546.9867857,-5.8999646641314
10,10,0,C37,BeiDou,37,306.968984264072,15.7499045830938,35.7720419599492,120.024882690387,92.8890078309923,25493880.450748,25493888.1404169,7.68966898694634
10,10,0,C39,BeiDou,39,153.43642645435,69.0364610901,35.7720419599492,120.024882690387,92.8890078309923,36039266.8422315,36039265.2423032,-1.59992827475071
10,10,0,C40,BeiDou,40,238.133449063876,72.4681184959734,35.7720419599492,120.024882690387,92.8890078309923,36192655.7807945,36192658.3391379,2.55834343284369
10,10,0,C43,BeiDou,43,160.638437431094,71.7652213525373,35.7720419599492,120.024882690387,92.8890078309923,21763790.8028218,21763789.7654334,-1.03738836944103
10,10,0,C59,BeiDou,59,150.975112118705,37.7551272316461,35.7720419599492,120.024882690387,92.8890078309923,37954498.6140817,37954494.7780076,-3.83607406169176
10,10,0,C60,BeiDou,60,229.733315756187,25.1663962814292,35.7720419599492,120.024882690387,92.8890078309923,39038847.4585085,39038854.3646503,6.90614183992147
10,10,0,R04,GLONASS,4,247.668515053882,10.0570538203373,35.7720419599492,120.024882690387,92.8890078309923,23592884.7342277,23592893.8421167,9.10788900405169
10,10,0,R05,GLONASS,5,295.021669674052,14.9462891545334,35.7720419599492,120.024882690387,92.8890078309923,23116116.7128216,23116125.4677429,8.75492130964994
10,10,0,R06,GLONASS,6,341.024363427504,1.83260068699633,35.7720419599492,120.024882690387,92.8890078309923,24521188.8106176,24521192.0606183,3.25000071153045
10,10,0,R13,GLONASS,13,97.7282924648508,29.6521405491911,35.7720419599492,120.024882690387,92.8890078309923,21743193.0307697,21743184.419265,-8.61150468140841
10,10,0,R14,GLONASS,14,13.8945961196384,60.124291456179,35.7720419599492,120.024882690387,92.8890078309923,19792590.9594543,19792589.7632887,-1.19616558775306
10,10,0,R15,GLONASS,15,316.592767508527,23.1294782499385,35.7720419599492,120.024882690387,92.8890078309923,22346885.3518361,22346891.6712768,6.31944064423442
10,10,0,R17,GLONASS,17,186.585700385426,29.0214422237461,35.7720419599492,120.024882690387,92.8890078309923,21805510.4695397,21805511.4724285,1.00288880988955
10,10,0,R23,GLONASS,23,30.5839515668123,21.8599485900877,35.7720419599492,120.024882690387,92.8890078309923,22452578.5925114,22452573.8703569,-4.72215457633138
10,10,0,R24,GLONASS,24,111.656726369445,70.3295215593278,35.7720419599492,120.024882690387,92.8890078309923,19433990.9410624,19433987.8125725,-3.1284898519516
10,10,0,G01,GPS,1,180.881654935049,10.5966687033255,35.7720419599492,120.024882690387,92.8890078309923,24590999.4308615,24590999.5821115,0.151250023394823
10,10,0,G02,GPS,2,162.744094189024,38.3307645185855,35.7720419599492,120.024882690387,92.8890078309923,21791234.3346561,21791232.0076816,-2.32697449252009
10,10,0,G04,GPS,4,207.356996904332,16.4109699405117,35.7720419599492,120.024882690387,92.8890078309923,23933400.0122369,23933404.4203508,4.40811384096742
10,10,0,G07,GPS,7,310.699831760305,44.5970143678153,35.7720419599492,120.024882690387,92.8890078309923,22110665.8812192,22110671.2796379,5.39841875061393
10,10,0,G08,GPS,8,332.725686665226,81.2319677281602,35.7720419599492,120.024882690387,92.8890078309923,19976905.2253799,19976905.9239148,0.698534920811653
10,10,0,G09,GPS,9,241.061703374108,24.3979465631701,35.7720419599492,120.024882690387,92.8890078309923,23230807.2771521,23230815.2470472,7.96989511698484
10,10,0,G16,GPS,16,75.5289324392411,33.2505831120815,35.7720419599492,120.024882690387,92.8890078309923,22485653.1916324,22485645.0941664,-8.09746595844626
