sat_id,system,prn,azimuth_start_deg,elevation_start_deg,azimuth_end_deg,elevation_end_deg,delta_azimuth_deg,delta_elevation_deg,angular_shift_deg,visibility_class
G02,GPS,2,162.744094189024,38.3307645185855,153.935948113162,52.5011133019204,-8.80814607586132,14.1703487833349,15.4333833996887,common
G04,GPS,4,207.356996904332,16.4109699405117,199.855642502722,5.88861302562825,-7.50135440161,-10.5223569148835,12.8340594479832,common
G07,GPS,7,310.699831760305,44.5970143678153,299.499869239052,55.3569287713489,-11.1999625212534,10.7599144035335,12.9133446750159,common
G08,GPS,8,332.725686665226,81.2319677281602,18.0715633993909,70.4440737850543,45.3458767341647,-10.7878939431059,14.7234502633552,common
G09,GPS,9,241.061703374108,24.3979465631701,230.148751426663,15.2287024767268,-10.9129519474453,-9.16924408644332,13.7526357717547,common
G16,GPS,16,75.5289324392411,33.2505831120815,87.5659630691196,24.6862391264592,12.0370306298785,-8.56434398562227,13.5557272369833,common
G27,GPS,27,41.4751921749809,52.3215536815787,45.9401634214506,39.349524483653,4.46497124646967,-12.9720291979257,13.3332266704245,common
G30,GPS,30,315.871114225485,16.8304272407389,313.076950147603,27.9860482599886,-2.79416407788233,11.1556210192498,11.4493941662454,common
J02,QZSS,2,71.2281829448801,68.6509551824396,73.3951646858009,67.9565106307885,2.16698174092079,-0.694444551651117,1.06009289502989,common
J03,QZSS,3,139.923079786983,38.8623226544958,138.304345228803,44.55314259822,-1.61873455817982,5.69081994372415,5.81736274420801,common
J04,QZSS,4,176.690791642845,11.9072892993498,174.572865590569,9.37104631226858,-2.11792605227575,-2.53624298708126,3.28092130612897,common
J07,QZSS,7,168.084078542637,47.7971767473582,168.083144103141,47.7877749550895,-0.000934439496887762,-0.00940179226869731,0.009422727695243,common
J08,QZSS,8,224.11530306443,38.0790948276611,224.116231241736,38.0857226304834,0.000928177305695499,0.00662780282222286,0.00666794824030099,common
R05,GLONASS,5,295.021669674052,14.9462891545334,280.665239691945,8.8769052005459,-14.3564299821076,-6.06938395398749,15.2941241853062,common
R06,GLONASS,6,341.024363427504,1.83260068699633,327.748979991675,4.23210323184708,-13.275383435829,2.39950254485075,13.4711581799817,common
R13,GLONASS,13,97.7282924648508,29.6521405491911,112.512402615559,20.2296592602,14.7841101507083,-9.42248128899109,16.3597070248805,common
R14,GLONASS,14,13.8945961196384,60.124291456179,49.6837825137986,64.6051979194986,35.7891863941602,4.48090646331956,16.9407909967514,common
R15,GLONASS,15,316.592767508527,23.1294782499385,326.890363770129,34.8436647204271,10.2975962616025,11.7141864704886,14.7568372087087,common
R17,GLONASS,17,186.585700385426,29.0214422237461,190.295209381764,45.9099254535268,3.70950899633783,16.8884832297807,17.1380980996244,common
R23,GLONASS,23,30.5839515668123,21.8599485900877,27.2664863829992,8.44933373394321,-3.31746518381311,-13.4106148561445,13.7855217320079,common
R24,GLONASS,24,111.656726369445,70.3295215593278,58.9257809676466,68.5833548029267,-52.7309454017986,-1.7461667564011,18.0004745835348,common
G10,GPS,10,NaN,NaN,74.400843870426,1.21104684595573,NaN,NaN,NaN,end_only
G14,GPS,14,NaN,NaN,290.002620253646,2.6077359128766,NaN,NaN,NaN,end_only
R18,GLONASS,18,NaN,NaN,200.61610707399,1.57864977941797,NaN,NaN,NaN,end_only
C20,BeiDou,20,311.55603579635,0.189664575187336,NaN,NaN,NaN,NaN,NaN,start_only
C24,BeiDou,24,119.161219825853,2.29065140866484,NaN,NaN,NaN,NaN,NaN,start_only
C32,BeiDou,32,261.574224368151,3.39216574510125,NaN,NaN,NaN,NaN,NaN,start_only
E14,Galileo,14,53.7749593859786,8.83136998799334,NaN,NaN,NaN,NaN,NaN,start_only
G26,GPS,26,97.5851843278581,7.74188913173984,NaN,NaN,NaN,NaN,NaN,start_only
G31,GPS,31,142.15193411124,0.973239129435446,NaN,NaN,NaN,NaN,NaN,start_only
R04,GLONASS,4,247.668515053882,10.0570538203373,NaN,NaN,NaN,NaN,NaN,start_only
